주문일,배송방식,고객명,고객분류,시군구,시도,지역,제품대분류,제품소분류,이름,매출,수량,할인율,이익
2019.11.13,표준등급,Lindsay Shagiari,홈오피스,용인시,경기도,수도권,전자제품,전화기,Panasonic KX TS3282W Corded phone,67.992,1,0.2,8.499
2019.11.13,표준등급,Lindsay Shagiari,홈오피스,용인시,경기도,수도권,사무용품,봉투,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",12.224,2,0.2,4.4312
2019.11.13,표준등급,Lindsay Shagiari,홈오피스,용인시,경기도,수도권,전자제품,액세서리,Maxell LTO Ultrium - 800 GB,44.784,2,0.2,-0.5598
2019.11.13,표준등급,Lindsay Shagiari,홈오피스,용인시,경기도,수도권,가구,기타 가구,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",22.848,3,0.6,-17.7072
2020.4.25,1등급,John Lucas,개인고객,성남시,경기도,수도권,사무용품,가정용 전자기기,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",206.43,3,0,90.8292
2019.12.12,당일배송,Craig Yedwab,기업고객,용인시,경기도,수도권,사무용품,바인더,GBC DocuBind 300 Electric Binding Machine,210.392,2,0.8,-336.6272
2019.9.26,2등급,Raymond Buch,개인고객,중구,서울,수도권,전자제품,액세서리,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,119.96,5,0.2,35.988
2019.9.26,2등급,Raymond Buch,개인고객,중구,서울,수도권,사무용품,아트,Newell 311,10.608,6,0.2,0.9282
2020.9.6,표준등급,Anthony Rawles,기업고객,시흥시,경기도,수도권,가구,의자,"Situations Contoured Folding Chairs, 4/Set",347.802,7,0.3,-24.843
2019.2.12,2등급,Cari Sayre,기업고객,중구,서울,수도권,가구,의자,"Global Leather and Oak Executive Chair, Black",963.136,4,0.2,108.3528
2019.2.12,2등급,Cari Sayre,기업고객,중구,서울,수도권,전자제품,전화기,"Logitech B530 USB Headset - headset - Full size, Binaural",88.776,3,0.2,7.7679
2019.6.30,2등급,Anthony Rawles,기업고객,송파구,서울,수도권,사무용품,아트,"BIC Brite Liner Highlighters, Chisel Tip",32.4,5,0,10.368
2020.6.8,1등급,Ross DeVincentis,홈오피스,성남시,경기도,수도권,사무용품,종이,Xerox 226,32.4,5,0,15.552
2019.12.20,표준등급,Keith Herrera,개인고객,중구,서울,수도권,사무용품,라벨,Avery 489,31.05,3,0,14.904
2020.12.15,1등급,Natalie Fritzler,개인고객,대덕구,대전,특별광역시,전자제품,액세서리,Plantronics Savi W720 Multi-Device Wireless Headset System,2025.36,6,0.2,607.608
2020.12.15,1등급,Natalie Fritzler,개인고객,대덕구,대전,특별광역시,전자제품,기계,Cubify CubeX 3D Printer Double Head Print,1799.994,2,0.7,-2639.9912
2020.12.15,1등급,Natalie Fritzler,개인고객,대덕구,대전,특별광역시,전자제품,전화기,Panasonic KX TS3282W Corded phone,101.988,2,0.4,-16.998
2020.12.15,1등급,Natalie Fritzler,개인고객,대덕구,대전,특별광역시,가구,기타 가구,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",262.864,7,0.2,69.0018
2019.8.3,2등급,Gary Hansen,홈오피스,제주시,제주,제주,사무용품,종이,White Computer Printout Paper by Universal,93.024,3,0.2,33.7212
2020.8.24,표준등급,Eleni McCrary,기업고객,성남시,경기도,수도권,가구,테이블,Chromcraft Rectangular Conference Tables,284.364,2,0.4,-75.8304
2020.8.24,표준등급,Eleni McCrary,기업고객,성남시,경기도,수도권,전자제품,액세서리,Memorex Micro Travel Drive 8 GB,26,2,0,11.7
2020.3.27,1등급,Dean Braden,개인고객,화순군,전라남도,전라,사무용품,저장고,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",67.64,5,0.2,5.9185
2020.3.27,1등급,Dean Braden,개인고객,화순군,전라남도,전라,전자제품,액세서리,Case Logic 2.4GHz Wireless Keyboard,119.976,3,0.2,-17.9964
2019.9.12,2등급,Pete Takahito,개인고객,안산시,경기도,수도권,사무용품,바인더,Wilson Jones Impact Binders,5.18,5,0.8,-8.029
2019.9.21,표준등급,Herbert Flentye,개인고객,서초구,서울,수도권,사무용품,봉투,Staple envelope,15.56,2,0,7.3132
2019.9.21,표준등급,Herbert Flentye,개인고객,서초구,서울,수도권,사무용품,봉투,"#10 White Business Envelopes,4 1/8 x 9 1/2",78.35,5,0,36.8245
2019.9.21,표준등급,Herbert Flentye,개인고객,서초구,서울,수도권,사무용품,아트,Newell 34,59.52,3,0,15.4752
2019.9.21,표준등급,Herbert Flentye,개인고객,서초구,서울,수도권,사무용품,종이,Xerox 1971,38.52,9,0,17.334
2019.9.21,표준등급,Herbert Flentye,개인고객,서초구,서울,수도권,전자제품,전화기,Polycom CX300 Desktop Phone USB VoIP phone,239.984,2,0.2,23.9984
2019.9.21,표준등급,Herbert Flentye,개인고객,서초구,서울,수도권,사무용품,종이,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",19.35,3,0,9.4815
2020.10.30,1등급,Katrina Willman,개인고객,부여군,충청남도,충청,가구,기타 가구,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,67,5,0,32.16
2020.5.29,표준등급,Kimberly Carter,기업고객,목포시,전라남도,전라,가구,의자,Novimex Fabric Task Chair,390.272,8,0.2,-24.392
2020.5.29,표준등급,Kimberly Carter,기업고객,목포시,전라남도,전라,사무용품,종이,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),62.192,13,0.2,19.435
2020.3.22,표준등급,Kean Takahito,개인고객,남동구,인천광역시,특별광역시,사무용품,바인더,Avery Durable Slant Ring Binders,3.168,2,0.8,-4.752
2020.3.22,표준등급,Kean Takahito,개인고객,남동구,인천광역시,특별광역시,가구,의자,"Global Airflow Leather Mesh Back Chair, Black",528.43,5,0.3,0
2020.3.22,표준등급,Kean Takahito,개인고객,남동구,인천광역시,특별광역시,사무용품,아트,Newell 33,13.392,3,0.2,1.5066
2019.11.12,표준등급,Emily Phan,개인고객,동구,부산,특별광역시,사무용품,아트,Boston 1799 Powerhouse Electric Pencil Sharpener,181.86,7,0,50.9208
2019.9.11,당일배송,Shahid Hopkins,개인고객,성남시,경기도,수도권,사무용품,종이,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",18.76,2,0,9.0048
2019.12.6,표준등급,Suzanne McNair,기업고객,성남시,경기도,수도권,가구,기타 가구,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",20.94,3,0,6.0726
2019.12.6,표준등급,Suzanne McNair,기업고객,성남시,경기도,수도권,가구,기타 가구,"Seth Thomas 14"" Putty-Colored Wall Clock",58.68,2,0,18.1908
2019.12.6,표준등급,Suzanne McNair,기업고객,성남시,경기도,수도권,사무용품,가정용 전자기기,Eureka The Boss Cordless Rechargeable Stick Vac,254.9,5,0,68.823
2019.11.7,1등급,Tamara Chand,기업고객,안산시,경기도,수도권,사무용품,바인더,Satellite Sectional Post Binders,26.046,3,0.8,-44.2782
2019.11.7,1등급,Tamara Chand,기업고객,안산시,경기도,수도권,사무용품,봉투,Staple envelope,74.352,3,0.2,26.9526
2019.10.21,2등급,Justin Ellison,기업고객,성북구,서울,수도권,사무용품,라벨,Avery 510,3.75,1,0,1.8
2019.10.21,2등급,Justin Ellison,기업고객,성북구,서울,수도권,사무용품,바인더,Wilson Jones Four-Pocket Poly Binders,20.928,4,0.2,7.5864
2020.12.27,표준등급,Daniel Raglin,홈오피스,남동구,인천광역시,특별광역시,사무용품,저장고,Sterilite Show Offs Storage Containers,12.672,3,0.2,-3.168
2019.10.3,표준등급,Rob Williams,기업고객,성남시,경기도,수도권,전자제품,전화기,Plantronics 81402,65.99,1,0,17.1574
2019.6.5,표준등급,Michelle Lonsdale,기업고객,동래구,부산,특별광역시,사무용품,바인더,Presstex Flexible Ring Binders,6.37,7,0.8,-9.555
2019.9.1,1등급,Jack Lebron,개인고객,안산시,경기도,수도권,사무용품,바인더,Prestige Round Ring Binders,3.648,3,0.8,-6.0192
2019.9.1,1등급,Jack Lebron,개인고객,안산시,경기도,수도권,사무용품,종이,Xerox 216,31.104,6,0.2,10.8864
2019.7.23,표준등급,Fred Hopkins,기업고객,성남시,경기도,수도권,전자제품,전화기,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",29.97,3,0,14.0859
2020.7.10,당일배송,Eric Hoffmann,개인고객,제주시,제주,제주,사무용품,바인더,Accohide Poly Flexible Ring Binders,3.366,3,0.7,-2.244
2019.12.1,표준등급,Toby Braunhardt,개인고객,화순군,전라남도,전라,전자제품,전화기,"BlueLounge Milo Smartphone Stand, White/Metallic",95.968,4,0.2,9.5968
2019.12.19,표준등급,Aaron Hawkins,기업고객,양산시,경상남도,경상,사무용품,아트,Avery Fluorescent Highlighter Four-Color Set,18.704,7,0.2,2.338
2019.5.18,2등급,Ted Trevino,개인고객,연제구,부산,특별광역시,가구,기타 가구,Deflect-o Glass Clear Studded Chair Mats,149.232,3,0.2,3.7308
2019.5.18,2등급,Ted Trevino,개인고객,연제구,부산,특별광역시,사무용품,종이,Xerox 1949,15.936,4,0.2,5.7768
2019.11.10,표준등급,Ruben Dartt,개인고객,강남구,서울,수도권,전자제품,전화기,Jabra SPEAK 410,601.536,8,0.2,60.1536
2019.11.10,표준등급,Ruben Dartt,개인고객,강남구,서울,수도권,전자제품,액세서리,Memorex Froggy Flash Drive 4 GB,10.99,1,0,4.2861
2019.11.10,표준등급,Ruben Dartt,개인고객,강남구,서울,수도권,가구,기타 가구,Luxo Economy Swing Arm Lamp,39.88,2,0,11.1664
2019.11.10,표준등급,Ruben Dartt,개인고객,강남구,서울,수도권,사무용품,종이,"Southworth 100% Résumé Paper, 24lb.",62.24,8,0,28.008
2019.11.10,표준등급,Ruben Dartt,개인고객,강남구,서울,수도권,가구,기타 가구,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",53.2,5,0,14.896
2019.11.10,표준등급,Ruben Dartt,개인고객,강남구,서울,수도권,사무용품,라벨,Avery White Multi-Purpose Labels,39.84,8,0,18.3264
2020.1.9,표준등급,Laura Armstrong,기업고객,서대문구,서울,수도권,전자제품,액세서리,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,349.95,5,0,118.983
2020.1.9,표준등급,Laura Armstrong,기업고객,서대문구,서울,수도권,전자제품,전화기,netTALK DUO VoIP Telephone Service,377.928,9,0.2,141.723
2019.9.23,표준등급,Sally Hughsby,기업고객,동구,부산,특별광역시,사무용품,봉투,Staple envelope,13.392,3,0.2,5.022
2019.9.23,표준등급,Sally Hughsby,기업고객,동구,부산,특별광역시,사무용품,바인더,Insertable Tab Post Binder Dividers,11.228,7,0.8,-18.5262
2019.12.23,표준등급,Sarah Foster,개인고객,포항시,경상북도,경상,사무용품,가정용 전자기기,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,207.24,11,0,58.0272
2020.5.27,표준등급,Tiffany House,기업고객,양산시,경상남도,경상,사무용품,아트,"OIC #2 Pencils, Medium Soft",1.504,1,0.2,0.1692
2020.5.27,표준등급,Tiffany House,기업고객,양산시,경상남도,경상,사무용품,가정용 전자기기,Holmes HEPA Air Purifier,34.848,2,0.2,6.534
2019.7.9,1등급,Vivek Gonzalez,개인고객,도봉구,서울,수도권,사무용품,라벨,Avery 485,75.18,6,0,35.3346
2019.5.13,표준등급,Naresj Patel,개인고객,동대문구,서울,수도권,전자제품,액세서리,Plantronics Audio 478 Stereo USB Headset,149.97,3,0,52.4895
2019.11.11,표준등급,Frank Hawley,기업고객,성남시,경기도,수도권,사무용품,바인더,Fellowes PB300 Plastic Comb Binding Machine,931.176,3,0.2,314.2719
2019.11.11,표준등급,Frank Hawley,기업고객,성남시,경기도,수도권,전자제품,전화기,Aastra 6757i CT Wireless VoIP phone,430.88,2,0,124.9552
2020.10.2,표준등급,Jennifer Patt,기업고객,서초구,서울,수도권,사무용품,종이,Computer Printout Paper with Letter-Trim Perforations,94.85,5,0,45.528
2020.10.2,표준등급,Jennifer Patt,기업고객,서초구,서울,수도권,사무용품,봉투,Globe Weis Peel & Seel 1등급 Envelopes,51.12,4,0,23.004
2020.10.2,표준등급,Jennifer Patt,기업고객,서초구,서울,수도권,전자제품,액세서리,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,90,1,0,32.4
2019.10.2,1등급,Erin Smith,기업고객,제주시,제주,제주,사무용품,종이,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",9.408,2,0.2,3.4104
2019.10.2,1등급,Erin Smith,기업고객,제주시,제주,제주,사무용품,잠금장치,Staples,4.672,2,0.2,1.46
2019.10.2,1등급,Erin Smith,기업고객,제주시,제주,제주,전자제품,전화기,Bose SoundLink Bluetooth Speaker,318.4,2,0.2,107.46
2019.10.2,1등급,Erin Smith,기업고객,제주시,제주,제주,사무용품,봉투,Letter or Legal Size Expandable Poly String Tie Envelopes,12.768,6,0.2,4.6284
2019.10.2,1등급,Erin Smith,기업고객,제주시,제주,제주,사무용품,소모품,Stiletto Hand Letter Openers,15.36,2,0.2,-3.264
2019.10.2,1등급,Erin Smith,기업고객,제주시,제주,제주,전자제품,전화기,Pyle PMP37LED,230.376,3,0.2,20.1579
2019.10.2,1등급,Erin Smith,기업고객,제주시,제주,제주,전자제품,액세서리,Kingston Digital DataTraveler 16GB USB 2.0,7.16,1,0.2,-0.0895
2019.8.11,표준등급,Ken Lonsdale,개인고객,성남시,경기도,수도권,사무용품,저장고,Tennsco Single-Tier Lockers,375.34,1,0,18.767
2019.9.2,2등급,Bradley Nguyen,개인고객,성남시,경기도,수도권,가구,기타 가구,"Seth Thomas 12"" Clock w/ Goldtone Case",114.9,5,0,39.066
2019.4.17,표준등급,Natalie DeCherney,개인고객,안산시,경기도,수도권,사무용품,바인더,Satellite Sectional Post Binders,26.046,3,0.8,-44.2782
2019.4.17,표준등급,Natalie DeCherney,개인고객,안산시,경기도,수도권,사무용품,바인더,"GBC White Gloss Covers, Plain Front",2.896,1,0.8,-4.7784
2019.4.17,표준등급,Natalie DeCherney,개인고객,안산시,경기도,수도권,사무용품,저장고,Tennsco Commercial Shelving,32.544,2,0.2,-7.7292
2020.4.25,1등급,Jack Lebron,개인고객,강북구,서울,수도권,사무용품,바인더,Cardinal Holdit Business Card Pockets,3.984,1,0.2,1.3944
2020.5.3,당일배송,Cindy Chapman,개인고객,성남시,경기도,수도권,사무용품,저장고,Super Decoflex Portable Personal File,44.94,3,0,12.5832
2020.5.3,당일배송,Cindy Chapman,개인고객,성남시,경기도,수도권,사무용품,바인더,Poly Designer Cover & Back,45.576,3,0.2,15.9516
2020.11.21,표준등급,David Wiener,기업고객,안산시,경기도,수도권,가구,의자,"Global Wood Trimmed Manager's Task Chair, Khaki",318.43,5,0.3,-77.333
2020.11.21,표준등급,David Wiener,기업고객,안산시,경기도,수도권,전자제품,전화기,Samsung HM1900 Bluetooth Headset,122.92,7,0.2,46.095
2020.11.21,표준등급,David Wiener,기업고객,안산시,경기도,수도권,가구,기타 가구,Eldon Wave Desk Accessories,7.068,3,0.6,-2.8272
2020.2.1,1등급,Cyma Kinney,기업고객,수원시,경기도,수도권,사무용품,저장고,X-Rack File for Hanging Folders,56.45,5,0,14.677
2019.4.1,2등급,Emily Grady,개인고객,남동구,인천광역시,특별광역시,사무용품,바인더,"SlimView Poly Binder, 3/8""",13.468,13,0.8,-22.8956
2019.12.2,표준등급,Sarah Jordon,개인고객,포천시,경기도,수도권,전자제품,전화기,Cisco SPA112 2 Port Phone Adapter,219.8,5,0.2,24.7275
2019.12.2,표준등급,Sarah Jordon,개인고객,포천시,경기도,수도권,가구,의자,DMI Arturo Collection Mission-style Design Wood Chair,317.058,3,0.3,-18.1176
2019.12.11,2등급,Ben Peterman,기업고객,중구,서울,수도권,전자제품,액세서리,Logitech Desktop MK120 Mouse and keyboard Combo,49.08,3,0,4.908
2019.12.11,2등급,Ben Peterman,기업고객,중구,서울,수도권,사무용품,저장고,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,324.9,5,0,38.988
2019.12.11,2등급,Ben Peterman,기업고객,중구,서울,수도권,사무용품,아트,Col-Erase Pencils with Erasers,18.24,3,0,5.2896
2020.9.18,표준등급,Sanjit Jacobs,홈오피스,중구,서울,수도권,가구,의자,Harbour Creations 67200 Series Stacking Chairs,113.888,2,0.2,9.9652
2020.9.18,표준등급,Sanjit Jacobs,홈오피스,중구,서울,수도권,전자제품,전화기,Clarity 53712,105.584,2,0.2,7.9188
2020.12.24,표준등급,Matt Collister,기업고객,금산군,충청남도,충청,사무용품,잠금장치,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",24.85,7,0,11.6795
2019.4.18,1등급,Bruce Geld,개인고객,양산시,경상남도,경상,가구,기타 가구,"Eldon Executive Woodline II Desk Accessories, Mahogany",60.312,3,0.2,5.2773
2019.10.28,2등급,Matt Abelman,홈오피스,남동구,인천광역시,특별광역시,사무용품,아트,Prang Colored Pencils,7.056,3,0.2,2.205
2019.10.28,2등급,Matt Abelman,홈오피스,남동구,인천광역시,특별광역시,전자제품,전화기,Spigen Samsung Galaxy S5 Case Wallet,27.184,2,0.2,2.0388
2020.7.9,표준등급,Chris Cortes,개인고객,중구,서울,수도권,전자제품,전화기,Logitech Mobile Speakerphone P710e - speaker phone,107.984,1,0.2,9.4486
2020.7.9,표준등급,Chris Cortes,개인고객,중구,서울,수도권,사무용품,바인더,"Fellowes Twister Kit, Gray/Clear, 3/pkg",19.296,3,0.2,6.03
2020.8.9,표준등급,Ruben Ausman,기업고객,화순군,전라남도,전라,사무용품,라벨,Avery File Folder Labels,4.608,2,0.2,1.6704
2020.11.14,표준등급,Laurel Beltran,홈오피스,서구,부산,특별광역시,사무용품,바인더,XtraLife ClearVue Slant-D Ring Binders by Cardinal,3.136,2,0.8,-4.704
2019.11.14,1등급,Candace McMahon,기업고객,성북구,서울,수도권,사무용품,종이,Xerox 221,20.736,4,0.2,7.2576
2019.11.17,1등급,Thomas Seio,기업고객,서초구,서울,수도권,전자제품,액세서리,Case Logic 2.4GHz Wireless Keyboard,99.98,2,0,7.9984
2019.11.17,1등급,Thomas Seio,기업고객,서초구,서울,수도권,사무용품,종이,Xerox 1941,733.95,7,0,352.296
2019.11.17,1등급,Thomas Seio,기업고객,서초구,서울,수도권,사무용품,가정용 전자기기,APC 7 Outlet Network SurgeArrest Surge Protector,241.44,3,0,72.432
2020.3.5,2등급,Randy Ferguson,기업고객,순천시,전라남도,전라,사무용품,라벨,Avery 518,10.08,4,0.2,3.528
2019.10.11,표준등급,Jill Fjeld,개인고객,양산시,경상남도,경상,사무용품,저장고,Fellowes High-Stak Drawer Files,281.904,2,0.2,10.5714
2019.10.11,표준등급,Jill Fjeld,개인고객,양산시,경상남도,경상,사무용품,봉투,Airmail Envelopes,201.432,3,0.2,67.9833
2020.12.27,2등급,Kean Nguyen,기업고객,동대문구,서울,수도권,전자제품,액세서리,Maxell 4.7GB DVD-R 5/Pack,7.92,8,0,3.4848
2020.2.9,표준등급,Sarah Jordon,개인고객,송파구,서울,수도권,가구,의자,"Global Deluxe Stacking Chair, Gray",203.92,5,0.2,22.941
2019.5.9,표준등급,Penelope Sewall,홈오피스,송파구,서울,수도권,전자제품,복사기,Canon Imageclass D680 Copier / Fax,3359.952,6,0.2,1049.985
2019.4.5,2등급,Greg Maxwell,기업고객,포항시,경상북도,경상,사무용품,아트,Crayola Colored Pencils,22.96,7,0,7.5768
2019.4.5,2등급,Greg Maxwell,기업고객,포항시,경상북도,경상,전자제품,전화기,AT&T CL82213,28.99,1,0,8.4071
2019.4.5,2등급,Greg Maxwell,기업고객,포항시,경상북도,경상,사무용품,종이,Xerox 1957,12.96,2,0,6.3504
2019.4.5,2등급,Greg Maxwell,기업고객,포항시,경상북도,경상,사무용품,아트,Newell 321,22.96,7,0,6.6584
2019.4.5,2등급,Greg Maxwell,기업고객,포항시,경상북도,경상,사무용품,소모품,Martin Yale Chadless Opener Electric Letter Opener,4164.05,5,0,83.281
2019.9.17,표준등급,Kean Takahito,개인고객,정읍시,전라북도,전라,전자제품,액세서리,Logitech Trackman Marble Mouse,47.984,2,0.2,13.1956
2019.9.17,표준등급,Kean Takahito,개인고객,정읍시,전라북도,전라,사무용품,종이,Xerox 1924,4.624,1,0.2,1.6762
2019.9.30,표준등급,Maya Herman,기업고객,성남시,경기도,수도권,가구,기타 가구,"Master Caster Door Stop, Brown",15.24,3,0,5.1816
2019.9.12,표준등급,Art Foster,개인고객,영등포구,서울,수도권,사무용품,바인더,"Premier Elliptical Ring Binder, Black",63.924,7,0.7,-46.8776
2020.12.13,1등급,Rob Dowd,개인고객,성동구,서울,수도권,전자제품,전화기,Plantronics Voyager Pro Legend,494.376,3,0.2,49.4376
2020.12.13,1등급,Rob Dowd,개인고객,성동구,서울,수도권,사무용품,바인더,"Angle-D Binders with Locking Rings, Label Holders",29.2,5,0.2,9.855
2020.12.13,1등급,Rob Dowd,개인고객,성동구,서울,수도권,전자제품,액세서리,Logitech K350 2.4Ghz Wireless Keyboard,248.85,5,0,27.3735
2020.12.13,1등급,Rob Dowd,개인고객,성동구,서울,수도권,전자제품,액세서리,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,36.24,1,0,15.2208
2020.10.31,표준등급,Jason Fortune-,개인고객,서대문구,서울,수도권,사무용품,아트,Newell 312,11.68,2,0,3.504
2019.12.26,표준등급,Clytie Kelty,개인고객,강남구,서울,수도권,사무용품,소모품,Acme Rosewood Handle Letter Opener,11.91,3,0,0.1191
2019.12.26,표준등급,Clytie Kelty,개인고객,강남구,서울,수도권,가구,기타 가구,"Eldon Regeneration Recycled Desk Accessories, Smoke",3.48,2,0,1.1136
2019.8.15,1등급,Keith Herrera,개인고객,용인시,경기도,수도권,사무용품,바인더,GBC Durable Plastic Covers,30.96,8,0.8,-52.632
2019.10.2,1등급,Corinna Mitchell,홈오피스,성남시,경기도,수도권,전자제품,기계,Fellowes Powershred HS-440 4-Sheet High Security Shredder,1704.89,11,0,767.2005
2020.5.23,표준등급,Emily Burns,개인고객,제주시,제주,제주,사무용품,바인더,Cardinal EasyOpen D-Ring Binders,19.194,7,0.7,-12.796
2020.5.23,표준등급,Emily Burns,개인고객,제주시,제주,제주,사무용품,가정용 전자기기,Fellowes Superior 10 Outlet Split Surge Protector,121.792,4,0.2,13.7016
2019.11.17,당일배송,Mitch Willingham,기업고객,서초구,서울,수도권,전자제품,기계,Bady BDG101FRU Card Printer,1919.976,3,0.2,215.9973
2019.11.18,표준등급,Carlos Soltero,개인고객,양산시,경상남도,경상,사무용품,바인더,Fellowes PB200 Plastic Comb Binding Machine,50.997,1,0.7,-40.7976
2019.11.18,표준등급,Carlos Soltero,개인고객,양산시,경상남도,경상,사무용품,저장고,Safco Industrial Wire Shelving,76.792,1,0.2,-16.3183
2019.11.18,표준등급,Carlos Soltero,개인고객,양산시,경상남도,경상,전자제품,전화기,Motorola Droid Maxx,539.964,6,0.4,-107.9928
2019.11.18,표준등급,Carlos Soltero,개인고객,양산시,경상남도,경상,가구,기타 가구,"Eldon Executive Woodline II Desk Accessories, Mahogany",60.312,3,0.2,5.2773
2019.11.18,표준등급,Carlos Soltero,개인고객,양산시,경상남도,경상,사무용품,바인더,Peel & Stick Add-On Corner Pockets,1.944,3,0.7,-1.4256
2019.12.30,2등급,Stefania Perrino,기업고객,양주시,경기도,수도권,사무용품,봉투,Fashion Color Clasp Envelopes,12.984,3,0.2,4.7067
2019.12.30,2등급,Stefania Perrino,기업고객,양주시,경기도,수도권,전자제품,전화기,"Plantronics CS 50-USB - headset - Convertible, Monaural",217.584,2,0.2,19.0386
2019.12.30,2등급,Stefania Perrino,기업고객,양주시,경기도,수도권,전자제품,전화기,AT&T 1080 Corded phone,328.776,3,0.2,28.7679
2019.12.30,2등급,Stefania Perrino,기업고객,양주시,경기도,수도권,사무용품,바인더,Acco Hanging Data Binders,2.286,3,0.8,-3.6576
2019.12.30,2등급,Stefania Perrino,기업고객,양주시,경기도,수도권,전자제품,액세서리,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,47.984,2,0.2,14.3952
2020.11.5,표준등급,Grant Thornton,기업고객,성남시,경기도,수도권,사무용품,바인더,"Wilson Jones 1"" Hanging DublLock Ring Binders",25.344,6,0.2,8.8704
2020.9.18,표준등급,Luke Weiss,개인고객,성남시,경기도,수도권,사무용품,바인더,Avery Arch Ring Binders,232.4,5,0.2,78.435
2019.9.27,표준등급,Thea Hendricks,개인고객,강남구,서울,수도권,가구,의자,DMI Arturo Collection Mission-style Design Wood Chair,603.92,5,0.2,45.294
2019.9.27,표준등급,Thea Hendricks,개인고객,강남구,서울,수도권,사무용품,종이,Xerox 1919,81.98,2,0,40.1702
2019.12.25,표준등급,Hunter Glantz,개인고객,강북구,서울,수도권,가구,의자,DMI Arturo Collection Mission-style Design Wood Chair,271.764,2,0.1,48.3136
2019.12.25,표준등급,Hunter Glantz,개인고객,강북구,서울,수도권,사무용품,바인더,"DXL Angle-View Binders with Locking Rings, Black",14.376,3,0.2,4.8519
2019.11.11,2등급,Edward Becker,기업고객,용인시,경기도,수도권,가구,기타 가구,Tenex Antistatic Computer Chair Mats,341.96,5,0.6,-427.45
2020.9.11,표준등급,Steven Cartwright,개인고객,강서구,서울,수도권,사무용품,아트,Boston 19500 Mighty Mite Electric Pencil Sharpener,181.35,9,0,48.9645
2020.9.11,표준등급,Steven Cartwright,개인고객,강서구,서울,수도권,사무용품,라벨,Avery 474,8.64,3,0,4.2336
2020.7.23,표준등급,Tracy Hopkins,홈오피스,성남시,경기도,수도권,사무용품,가정용 전자기기,Belkin F5C206VTEL 6 Outlet Surge,68.94,3,0,20.682
2020.7.23,표준등급,Tracy Hopkins,홈오피스,성남시,경기도,수도권,가구,기타 가구,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",128.82,3,0,50.2398
2019.11.11,표준등급,Karen Daniels,개인고객,안산시,경기도,수도권,사무용품,바인더,GBC DocuBind TL300 Electric Binding System,896.99,5,0.8,-1480.0335
2019.11.11,표준등급,Karen Daniels,개인고객,안산시,경기도,수도권,사무용품,바인더,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",1.234,1,0.8,-1.9744
2019.11.11,표준등급,Karen Daniels,개인고객,안산시,경기도,수도권,사무용품,아트,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",67.56,3,0.2,6.756
2019.11.11,표준등급,Karen Daniels,개인고객,안산시,경기도,수도권,사무용품,종이,"Wirebound Message Book, 4 per Page",21.72,5,0.2,7.8735
2019.11.11,표준등급,Karen Daniels,개인고객,안산시,경기도,수도권,사무용품,종이,Xerox 1893,262.336,8,0.2,95.0968
2019.11.11,표준등급,Karen Daniels,개인고객,안산시,경기도,수도권,전자제품,전화기,Geemarc AmpliPOWER60,148.48,2,0.2,16.704
2019.11.11,표준등급,Karen Daniels,개인고객,안산시,경기도,수도권,전자제품,전화기,Classic Ivory Antique Telephone ZL1810,241.176,3,0.2,15.0735
2019.12.15,표준등급,Gary Mitchum,홈오피스,남동구,인천광역시,특별광역시,전자제품,액세서리,Kensington Expert Mouse Optical USB Trackball for PC or Mac,227.976,3,0.2,28.497
2019.12.15,표준등급,Gary Mitchum,홈오피스,남동구,인천광역시,특별광역시,전자제품,전화기,Samsung HM1900 Bluetooth Headset,52.68,3,0.2,19.755
2019.12.15,표준등급,Gary Mitchum,홈오피스,남동구,인천광역시,특별광역시,가구,기타 가구,"Master Caster Door Stop, Gray",2.032,1,0.6,-1.3208
2019.8.22,1등급,Patrick Ryan,개인고객,동대문구,서울,수도권,사무용품,아트,Newell 336,17.12,4,0,4.9648
